trip_no,start_date,end_date
113,2016-02-26 13:01:00,2016-02-26 13:24:00
114,2016-02-28 05:22:00,2016-02-28 05:38:00
115,2016-02-28 09:26:00,2016-02-28 09:42:00
116,2016-02-29 11:30:00,2016-02-29 11:40:00
117,2016-02-29 12:36:00,2016-02-29 12:48:00
118,2016-02-29 16:40:00,2016-02-29 17:00:00
119,2016-03-01 18:47:00,2016-03-01 19:10:00
120,2016-03-01 21:27:00,2016-03-01 21:45:00
121,2016-03-03 11:04:00,2016-03-03 11:10:00
122,2016-03-03 14:44:00,2016-03-03 14:58:00
123,2016-03-03 15:27:00,2016-03-03 15:48:00
124,2016-03-03 16:02:00,2016-03-03 16:42:00
125,2016-03-04 07:47:00,2016-03-04 08:06:00
126,2016-03-04 09:46:00,2016-03-04 10:03:00
127,2016-03-04 11:46:00,2016-03-04 12:06:00
128,2016-03-04 13:03:00,2016-03-04 13:25:00
129,2016-03-04 13:40:00,2016-03-04 14:09:00
130,2016-03-04 15:56:00,2016-03-04 16:08:00
131,2016-03-04 16:16:00,2016-03-04 16:22:00
132,2016-03-04 16:43:00,2016-03-04 17:12:00
133,2016-03-04 19:02:00,2016-03-04 19:08:00
134,2016-03-04 19:16:00,2016-03-04 19:25:00
135,2016-03-05 11:44:00,2016-03-05 11:59:00
136,2016-03-05 14:39:00,2016-03-05 15:01:00
137,2016-03-05 16:52:00,2016-03-05 17:13:00
138,2016-03-05 17:23:00,2016-03-05 17:34:00
139,2016-03-07 09:10:00,2016-03-07 09:20:00
140,2016-03-07 09:23:00,2016-03-07 09:47:00
141,2016-03-07 12:10:00,2016-03-07 12:26:00
142,2016-03-07 13:57:00,2016-03-07 14:18:00
143,2016-03-07 15:19:00,2016-03-07 15:45:00
144,2016-03-08 14:38:00,2016-03-08 14:55:00
145,2016-03-08 15:35:00,2016-03-08 16:00:00
146,2016-03-10 03:36:00,2016-03-10 03:53:00
147,2016-03-10 10:08:00,2016-03-10 10:37:00
148,2016-03-11 09:47:00,2016-03-11 09:59:00
149,2016-03-13 09:07:00,2016-03-13 09:37:00
150,2016-03-13 18:23:00,2016-03-13 18:43:00
151,2016-03-13 20:07:00,2016-03-13 20:28:00
152,2016-03-13 20:39:00,2016-03-13 20:58:00
153,2016-03-13 21:11:00,2016-03-13 21:23:00
154,2016-03-14 08:34:00,2016-03-14 08:49:00
155,2016-03-15 08:45:00,2016-03-15 08:57:00
156,2016-03-15 20:48:00,2016-03-15 21:01:00
157,2016-03-16 11:34:00,2016-03-16 11:45:00
158,2016-03-16 18:43:00,2016-03-16 18:56:00
159,2016-03-17 12:52:00,2016-03-17 15:11:00
160,2016-03-17 15:16:00,2016-03-17 15:58:00
161,2016-03-17 17:20:00,2016-03-17 18:02:00
162,2016-03-18 07:15:00,2016-03-18 07:21:00
163,2016-03-18 08:35:00,2016-03-18 08:43:00
164,2016-03-18 18:24:00,2016-03-18 19:08:00
165,2016-03-18 19:23:00,2016-03-18 19:29:00
166,2016-03-18 21:01:00,2016-03-18 21:15:00
167,2016-03-19 09:10:00,2016-03-19 09:25:00
168,2016-03-19 12:50:00,2016-03-19 13:13:00
169,2016-03-19 14:01:00,2016-03-19 14:57:00
170,2016-03-19 15:34:00,2016-03-19 16:38:00
171,2016-03-19 17:17:00,2016-03-19 17:32:00
172,2016-03-19 17:37:00,2016-03-19 17:47:00
173,2016-03-19 18:53:00,2016-03-19 19:29:00
174,2016-03-19 19:33:00,2016-03-19 20:39:00
175,2016-03-20 07:37:00,2016-03-20 07:48:00
176,2016-03-20 11:42:00,2016-03-20 11:56:00
177,2016-03-20 18:45:00,2016-03-20 19:06:00
178,2016-03-21 16:05:00,2016-03-21 16:13:00
179,2016-03-21 20:18:00,2016-03-21 20:55:00
180,2016-03-22 06:17:00,2016-03-22 06:43:00
181,2016-03-25 13:24:00,2016-03-25 16:22:00
182,2016-03-25 16:52:00,2016-03-25 22:22:00
183,2016-03-25 22:54:00,2016-03-26 01:39:00
184,2016-03-27 00:31:00,2016-03-27 00:40:00
185,2016-03-27 01:11:00,2016-03-27 01:23:00
186,2016-03-27 15:31:00,2016-03-27 15:56:00
187,2016-03-30 22:05:00,2016-03-30 22:55:00
188,2016-03-31 12:47:00,2016-03-31 13:22:00
