trip_no,start_date,end_date
496,2016-12-04 20:23:00,2016-12-04 20:34:00
497,2016-12-05 19:22:00,2016-12-05 19:37:00
498,2016-12-07 12:03:00,2016-12-07 12:32:00
499,2016-12-07 12:35:00,2016-12-07 12:46:00
500,2016-12-07 19:53:00,2016-12-07 20:13:00
501,2016-12-07 21:13:00,2016-12-07 21:50:00
502,2016-12-08 14:19:00,2016-12-08 14:32:00
503,2016-12-08 14:53:00,2016-12-08 15:02:00
504,2016-12-08 19:22:00,2016-12-08 19:27:00
505,2016-12-08 21:26:00,2016-12-08 21:31:00
506,2016-12-09 12:09:00,2016-12-09 12:24:00
507,2016-12-09 13:15:00,2016-12-09 13:43:00
508,2016-12-09 20:11:00,2016-12-09 20:34:00
509,2016-12-09 22:03:00,2016-12-09 22:57:00
510,2016-12-10 12:43:00,2016-12-10 13:16:00
511,2016-12-10 14:42:00,2016-12-10 15:18:00
512,2016-12-10 18:17:00,2016-12-10 18:27:00
513,2016-12-10 22:09:00,2016-12-10 22:21:00
514,2016-12-11 16:06:00,2016-12-11 16:16:00
515,2016-12-11 19:05:00,2016-12-11 19:15:00
516,2016-12-11 21:48:00,2016-12-11 21:56:00
517,2016-12-12 13:22:00,2016-12-12 13:32:00
518,2016-12-12 13:36:00,2016-12-12 13:51:00
519,2016-12-12 14:26:00,2016-12-12 14:39:00
520,2016-12-12 17:51:00,2016-12-12 18:01:00
521,2016-12-12 20:48:00,2016-12-12 20:57:00
522,2016-12-13 18:19:00,2016-12-13 18:29:00
523,2016-12-13 20:20:00,2016-12-13 20:29:00
524,2016-12-14 17:50:00,2016-12-14 18:00:00
525,2016-12-14 20:24:00,2016-12-14 20:40:00
526,2016-12-15 14:20:00,2016-12-15 14:54:00
527,2016-12-19 10:15:00,2016-12-19 10:34:00
528,2016-12-19 16:50:00,2016-12-19 17:09:00
529,2016-12-20 10:30:00,2016-12-20 10:48:00
530,2016-12-20 16:14:00,2016-12-20 16:24:00
531,2016-12-20 16:56:00,2016-12-20 17:07:00
532,2016-12-21 17:45:00,2016-12-21 17:54:00
533,2016-12-22 21:41:00,2016-12-22 21:53:00
534,2016-12-22 23:27:00,2016-12-22 23:32:00
535,2016-12-23 09:21:00,2016-12-23 09:41:00
536,2016-12-24 10:34:00,2016-12-24 10:53:00
537,2016-12-24 12:51:00,2016-12-24 12:53:00
538,2016-12-24 13:08:00,2016-12-24 13:29:00
539,2016-12-24 17:12:00,2016-12-24 17:27:00
540,2016-12-24 19:12:00,2016-12-24 19:27:00
541,2016-12-24 22:04:00,2016-12-24 22:09:00
542,2016-12-25 00:10:00,2016-12-25 00:14:00
543,2016-12-25 19:15:00,2016-12-25 19:26:00
544,2016-12-25 21:58:00,2016-12-25 22:04:00
545,2016-12-26 08:30:00,2016-12-26 08:41:00
546,2016-12-26 09:05:00,2016-12-26 09:19:00
547,2016-12-26 10:15:00,2016-12-26 10:36:00
548,2016-12-26 11:29:00,2016-12-26 11:42:00
549,2016-12-27 07:02:00,2016-12-27 07:14:00
550,2016-12-27 08:37:00,2016-12-27 08:59:00
551,2016-12-27 12:53:00,2016-12-27 12:57:00
552,2016-12-27 19:19:00,2016-12-27 19:50:00
553,2016-12-28 13:53:00,2016-12-28 14:01:00
554,2016-12-28 18:33:00,2016-12-28 18:56:00
555,2016-12-28 22:44:00,2016-12-28 23:18:00
556,2016-12-29 00:49:00,2016-12-29 01:06:00
557,2016-12-29 12:25:00,2016-12-29 12:33:00
558,2016-12-29 13:17:00,2016-12-29 13:24:00
559,2016-12-29 13:56:00,2016-12-29 14:11:00
560,2016-12-29 14:42:00,2016-12-29 14:58:00
561,2016-12-29 15:05:00,2016-12-29 15:16:00
562,2016-12-29 20:15:00,2016-12-29 20:45:00
563,2016-12-30 10:15:00,2016-12-30 10:33:00
564,2016-12-30 11:31:00,2016-12-30 11:56:00
565,2016-12-30 15:41:00,2016-12-30 16:03:00
566,2016-12-30 16:45:00,2016-12-30 17:08:00
567,2016-12-30 23:06:00,2016-12-30 23:10:00
568,2016-12-31 01:07:00,2016-12-31 01:14:00
569,2016-12-31 21:32:00,2016-12-31 21:50:00
570,2016-12-31 22:08:00,2016-12-31 23:51:00
